RCPS Problem 2 - solution submitted by Mark Ringer 3.8.95

asm_1.step_001 26/2+05:09
asm_1.step_002 16/1+02:26
asm_1.step_003 21/1+01:18
asm_1.step_004 5/2+06:39
asm_1.step_005 38/1+03:48
asm_1.step_006 27/1+03:04
asm_1.step_007 37/2+03:48
asm_1.step_008 39/1+03:48
asm_1.step_009 32/2+00:23
asm_1.step_010 25/1+04:51
asm_1.step_011 16/1+02:26
asm_1.step_012 3/2+00:14
asm_1.step_013 33/1+00:23
asm_1.step_014 22/1+05:18
asm_1.step_015 8/1+05:23
asm_1.step_016 17/1+05:24
asm_1.step_017 7/1+02:54
asm_1.step_018 6/2+05:23
asm_1.step_019 6/1+01:08
asm_1.step_020 37/2+03:48
asm_1.step_021 18/2+05:24
asm_1.step_022 4/1+07:23
asm_1.step_023 5/1+00:48
asm_1.step_024 26/2+04:51
asm_1.step_025 1/1+01:30
asm_1.step_026 5/2+04:38
asm_1.step_027 10/1+04:23
asm_1.step_028 45/1+02:36
asm_1.step_029 6/2+06:38
asm_1.step_030 10/1+05:35
asm_1.step_031 36/2+03:18
asm_1.step_032 25/2+06:24
asm_1.step_033 41/2+04:21
asm_1.step_034 7/1+06:03
asm_1.step_035 10/2+01:26
asm_1.step_036 10/2+01:26
asm_1.step_037 6/1+01:38
asm_1.step_038 17/2+06:26
asm_1.step_039 11/1+01:26
asm_1.step_040 22/2+03:48
asm_1.step_041 14/1+02:27
asm_1.step_042 37/2+03:48
asm_1.step_043 37/2+03:48
asm_1.step_044 6/2+05:53
asm_1.step_045 11/1+05:28
asm_1.step_046 27/1+03:19
asm_1.step_047 2/1+06:37
asm_1.step_048 1/2+02:43
asm_1.step_049 31/1+00:46
asm_1.step_050 6/1+04:09
asm_1.step_051 6/1+00:09
asm_1.step_052 42/2+03:36
asm_1.step_053 22/1+05:18
asm_1.step_054 5/2+06:04
asm_1.step_055 42/1+00:51
asm_1.step_056 23/2+01:18
asm_1.step_057 2/1+02:43
asm_1.step_058 4/2+01:23
asm_1.step_059 16/2+01:21
asm_1.step_060 37/2+03:48
asm_1.step_061 17/1+01:21
asm_1.step_062 12/2+05:51
asm_1.step_063 20/1+04:22
asm_1.step_064 39/2+06:31
asm_1.step_065 3/2+02:43
asm_1.step_066 2/2+02:43
asm_1.step_067 13/1+05:51
asm_1.step_068 17/2+03:11
asm_1.step_069 26/2+04:09
asm_1.step_070 19/1+05:24
asm_1.step_071 22/2+00:18
asm_1.step_072 25/2+04:51
asm_1.step_073 6/2+05:23
asm_1.step_074 37/2+03:48
asm_1.step_075 4/1+03:18
asm_1.step_076 37/2+06:13
asm_1.step_077 4/2+05:33
asm_1.step_078 12/1+00:51
asm_1.step_079 19/2+04:22
asm_1.step_080 19/2+00:19
asm_1.step_081 7/1+05:54
asm_1.step_082 13/2+04:21
asm_1.step_083 36/2+03:48
asm_1.step_084 4/1+02:29
asm_1.step_085 17/1+05:24
asm_1.step_086 4/2+00:23
asm_1.step_087 12/1+05:57
asm_1.step_088 18/2+05:24
asm_1.step_089 1/2+01:13
asm_1.step_090 5/2+05:04
asm_1.step_091 10/2+00:05
asm_1.step_092 3/1+01:38
asm_1.step_093 27/2+04:51
asm_1.step_094 22/1+06:48
asm_1.step_095 22/1+05:48
asm_1.step_096 7/2+06:33
asm_1.step_097 4/1+04:18
asm_1.step_098 34/1+06:48
asm_1.step_099 2/2+05:48
asm_1.step_100 41/1+00:18
asm_1.step_101 23/2+00:18
asm_1.step_102 16/1+04:51
asm_1.step_103 13/2+05:06
asm_1.step_104 41/2+04:24
asm_1.step_105 17/1+02:31
asm_1.step_106 1/1+02:25
asm_1.step_107 11/2+01:26
asm_1.step_108 3/1+01:53
asm_1.step_109 1/2+05:13
asm_1.step_110 4/1+07:23
asm_1.step_111 45/1+03:36
asm_1.step_112 26/2+05:39
asm_1.step_113 34/2+06:48
asm_1.step_114 9/2+00:39
asm_1.step_115 37/2+03:48
asm_1.step_116 11/2+00:32
asm_1.step_117 12/2+05:56
asm_1.step_118 18/1+00:09
asm_1.step_119 35/1+06:48
asm_1.step_120 9/2+01:56
asm_1.step_121 8/2+06:03
asm_1.step_122 4/1+07:23
asm_1.step_123 17/1+05:24
asm_1.step_124 17/2+06:09
asm_1.step_125 11/2+05:56
asm_1.step_126 7/2+02:18
asm_1.step_127 10/1+06:48
asm_1.step_128 45/1+00:36
asm_1.step_129 11/2+05:56
asm_1.step_130 28/1+07:16
asm_1.step_131 6/2+00:53
asm_1.step_132 29/1+07:16
asm_1.step_133 23/1+01:18
asm_1.step_134 39/1+00:58
asm_1.step_135 10/2+01:43
asm_1.step_136 5/2+00:23
asm_1.step_137 9/2+04:21
asm_1.step_138 9/1+06:08
asm_1.step_139 1/2+01:13
asm_1.step_140 11/2+01:26
asm_1.step_141 9/2+01:09
asm_1.step_142 16/1+02:41
asm_1.step_143 14/1+05:06
asm_1.step_144 5/1+04:33
asm_1.step_145 3/1+07:29
asm_1.step_146 9/2+04:21
asm_1.step_147 38/1+03:48
asm_1.step_148 8/2+06:03
asm_1.step_149 6/1+00:49
asm_1.step_150 25/2+01:48
asm_1.step_151 13/2+02:27
asm_1.step_152 39/2+00:58
asm_1.step_153 17/2+07:26
asm_1.step_154 6/2+07:08
asm_1.step_155 25/2+05:54
asm_1.step_156 24/1+00:18
asm_1.step_157 25/1+00:48
asm_1.step_158 17/2+04:02
asm_1.step_159 17/1+02:26
asm_1.step_160 26/2+06:39
asm_1.step_161 4/2+07:23
asm_1.step_162 4/1+04:30
asm_1.step_163 3/1+02:43
asm_1.step_164 27/1+05:34
asm_1.step_165 11/1+01:01
asm_1.step_166 37/2+06:13
asm_1.step_167 42/1+07:21
asm_1.step_168 14/2+00:01
asm_1.step_169 4/1+07:23
asm_1.step_170 27/2+07:16
asm_1.step_171 24/2+00:18
asm_1.step_172 4/1+07:23
asm_1.step_173 38/2+06:03
asm_1.step_174 40/1+05:26
asm_1.step_175 1/1+00:00
asm_1.step_176 4/1+00:28
asm_1.step_177 17/1+06:54
asm_1.step_178 27/1+00:39
asm_1.step_179 41/1+03:51
asm_1.step_180 4/2+02:48
asm_1.step_181 10/1+05:23
asm_1.step_182 23/1+00:18
asm_1.step_183 9/2+01:53
asm_1.step_184 24/2+00:48
asm_1.step_185 25/1+01:48
asm_1.step_186 17/2+00:24
asm_1.step_187 37/2+03:48
asm_1.step_188 6/2+00:53
asm_1.step_189 25/1+01:54
asm_1.step_190 40/2+00:21
asm_1.step_191 8/1+04:03
asm_1.step_192 39/2+03:48
asm_1.step_193 45/2+00:21
asm_1.step_194 16/2+02:26
asm_1.step_195 8/2+01:26
asm_1.step_196 3/2+06:48
asm_1.step_197 29/2+07:16
asm_1.step_198 18/1+02:56
asm_1.step_199 6/1+04:23
asm_1.step_200 1/2+02:25
asm_1.step_201 22/1+06:18
asm_1.step_202 15/2+02:27
asm_1.step_203 17/2+02:26
asm_1.step_204 16/2+01:21
asm_1.step_205 1/2+01:43
asm_1.step_206 41/1+04:21
asm_1.step_207 4/2+05:26
asm_1.step_208 15/2+02:26
asm_1.step_209 26/1+04:51
asm_1.step_210 6/1+04:03
asm_1.step_211 3/2+04:38
asm_1.step_212 11/2+00:23
asm_1.step_213 25/2+02:48
asm_1.step_214 16/2+02:26
asm_1.step_215 13/1+06:57
asm_1.step_216 33/1+03:23
asm_1.step_217 5/2+04:38
asm_1.step_218 17/2+05:24
asm_1.step_219 6/2+00:38
asm_1.step_220 14/2+02:27
asm_1.step_221 24/2+04:51
asm_1.step_222 37/2+06:13
asm_1.step_223 30/2+07:16
asm_1.step_224 4/1+04:18
asm_1.step_225 5/1+01:18
asm_1.step_226 3/1+00:53
asm_1.step_227 14/2+02:26
asm_1.step_228 1/1+01:00
asm_1.step_229 3/2+04:08
asm_1.step_230 5/1+05:56
asm_1.step_231 4/1+04:30
asm_1.step_232 11/2+03:51
asm_1.step_233 7/1+06:54
asm_1.step_234 9/1+01:26
asm_1.step_235 15/1+02:26
asm_1.step_236 4/1+06:31
asm_1.step_237 33/1+04:23
asm_1.step_238 3/1+04:18
asm_1.step_239 6/2+04:23
asm_1.step_240 42/1+01:51
asm_1.step_241 42/1+03:36
asm_1.step_242 38/1+06:13
asm_1.step_243 17/2+00:24
asm_1.step_244 10/2+02:58
asm_1.step_245 42/2+03:36
asm_1.step_246 39/2+02:28
asm_1.step_247 1/2+01:43
asm_1.step_248 4/2+06:11
asm_1.step_249 4/1+00:28
asm_1.step_250 13/1+05:56
asm_1.step_251 17/2+02:26
asm_1.step_252 40/2+03:48
asm_1.step_253 1/1+00:00
asm_1.step_254 1/2+05:40
asm_1.step_255 7/2+07:23
asm_1.step_256 18/2+00:51
asm_1.step_257 15/1+02:27
asm_1.step_258 17/1+01:16
asm_1.step_259 6/2+04:23
asm_1.step_260 3/1+05:38
asm_1.step_261 21/2+01:18
asm_1.step_262 10/1+00:14
asm_1.step_263 16/1+04:51
asm_1.step_264 13/2+05:56
asm_1.step_265 12/1+03:32
asm_1.step_266 4/2+03:56
asm_1.step_267 17/2+00:54
asm_1.step_268 45/1+01:36
asm_1.step_269 43/2+03:36
asm_1.step_270 10/2+01:43
asm_1.step_271 4/2+00:53
asm_1.step_272 4/1+07:23
asm_1.step_273 38/1+04:33
asm_1.step_274 12/1+03:51
asm_1.step_275 8/2+02:33
asm_1.step_276 17/2+07:21
asm_1.step_277 25/1+01:48
asm_1.step_278 6/2+07:23
asm_1.step_279 17/2+00:54
asm_1.step_280 38/2+03:48
asm_1.step_281 26/2+04:54
asm_1.step_282 45/1+03:51
asm_1.step_283 11/1+00:32
asm_1.step_284 4/1+07:23
asm_1.step_285 4/1+07:03
asm_1.step_286 5/1+00:53
asm_1.step_287 6/2+06:23
asm_1.step_288 3/2+06:48
asm_1.step_289 8/2+05:23
asm_1.step_290 28/1+07:16
asm_1.step_291 5/2+04:23
asm_1.step_292 43/1+03:36
asm_1.step_293 3/1+04:53
asm_1.step_294 27/1+04:51
asm_1.step_295 3/1+04:38
asm_1.step_296 9/2+00:39
asm_1.step_297 10/1+05:10
asm_1.step_298 6/1+04:23
asm_1.step_299 39/2+06:31
asm_1.step_300 4/2+07:23
asm_1.step_301 28/2+07:16
asm_1.step_302 22/1+01:18
asm_1.step_303 3/2+03:23
asm_1.step_304 3/2+04:14
asm_1.step_305 17/2+04:54
asm_1.step_306 3/2+03:58
asm_1.step_307 12/2+06:57
asm_1.step_308 1/2+01:58
asm_1.step_309 22/2+00:48
asm_1.step_310 43/2+04:06
asm_1.step_311 3/2+03:08
asm_1.step_312 5/2+00:53
asm_1.step_313 6/2+02:54
asm_1.step_314 2/1+01:55
asm_1.step_315 33/1+06:48
asm_1.step_316 7/1+07:23
asm_1.step_317 24/1+01:18
asm_1.step_318 4/1+00:28
asm_1.step_319 5/2+04:23
asm_1.step_320 6/2+04:23
asm_1.step_321 37/2+03:48
asm_1.step_322 15/2+02:26
asm_1.step_323 9/1+05:23
asm_1.step_324 22/1+05:18
asm_1.step_325 31/1+00:46
asm_1.step_326 31/1+04:49
asm_1.step_327 31/2+04:49
asm_1.step_328 5/1+04:38
asm_1.step_329 1/2+01:13
asm_1.step_330 9/1+06:08
asm_1.step_331 7/1+06:03
asm_1.step_332 7/1+05:23
asm_1.step_333 16/2+05:31
asm_1.step_334 1/2+01:13
asm_1.step_335 37/1+03:48
asm_1.step_336 19/2+04:22
asm_1.step_337 9/1+05:08
asm_1.step_338 6/2+06:23
asm_1.step_339 7/2+04:43
asm_1.step_340 1/2+01:13
asm_1.step_341 11/1+02:33
asm_1.step_342 17/2+06:26
asm_1.step_343 3/1+02:06
asm_1.step_344 3/2+00:44
asm_1.step_345 10/2+04:28
asm_1.step_346 2/2+00:53
asm_1.step_347 15/1+02:26
asm_1.step_348 15/1+02:26
asm_1.step_349 45/1+06:21
asm_1.step_350 10/2+02:43
asm_1.step_351 31/2+06:50
asm_1.step_352 4/2+02:53
asm_1.step_353 2/2+01:13
asm_1.step_354 7/1+02:54
asm_1.step_355 8/2+00:26
asm_1.step_356 3/1+05:08
asm_1.step_357 10/2+05:13
asm_1.step_358 4/1+07:23
asm_1.step_359 32/1+03:23
asm_1.step_360 4/1+03:18
asm_1.step_361 37/2+03:48
asm_1.step_362 1/2+02:28
asm_1.step_363 7/2+02:33
asm_1.step_364 22/1+05:18
asm_1.step_365 12/1+05:56
asm_1.step_366 1/1+00:00
asm_1.step_367 33/2+06:48
asm_1.step_368 1/2+01:58
asm_1.step_369 3/2+04:26
asm_1.step_370 26/2+03:24
asm_1.step_371 4/2+00:23
asm_1.step_372 6/2+03:38
asm_1.step_373 26/2+02:24
asm_1.step_374 12/1+00:32
asm_1.step_375 17/1+05:32
asm_1.step_376 28/2+07:16
asm_1.step_377 7/2+07:03
asm_1.step_378 1/1+02:18
asm_1.step_379 10/2+05:23
asm_1.step_380 2/2+00:54
asm_1.step_381 23/1+03:48
asm_1.step_382 7/1+00:38
asm_1.step_383 1/1+02:00
asm_1.step_384 6/1+05:39
asm_1.step_385 4/2+04:59
asm_1.step_386 1/1+04:43
asm_1.step_387 7/2+05:23
asm_1.step_388 21/2+01:18
asm_1.step_389 22/1+01:18
asm_1.step_390 2/2+05:38
asm_1.step_391 22/2+03:48
asm_1.step_392 40/2+03:51
asm_1.step_393 1/1+00:00
asm_1.step_394 16/2+01:01
asm_1.step_395 12/1+04:51
asm_1.step_396 4/2+05:33
asm_1.step_397 12/1+04:51
asm_1.step_398 2/2+03:43
asm_1.step_399 10/1+00:21
asm_1.step_400 25/2+05:54
asm_1.step_401 16/2+03:46
asm_1.step_402 14/2+02:26
asm_1.step_403 5/1+02:11
asm_1.step_404 9/2+05:23
asm_1.step_405 20/1+04:22
asm_1.step_406 14/1+05:56
asm_1.step_407 9/2+04:21
asm_1.step_408 44/2+04:06
asm_1.step_409 17/2+01:39
asm_1.step_410 6/1+06:39
asm_1.step_411 7/1+07:23
asm_1.step_412 3/1+06:38
asm_1.step_413 16/1+02:26
asm_1.step_414 5/2+04:23
asm_1.step_415 11/2+00:32
asm_1.step_416 3/1+00:18
asm_1.step_417 7/2+07:23
asm_1.step_418 1/1+05:43
asm_1.step_419 26/2+02:54
asm_1.step_420 9/1+05:23
asm_1.step_421 4/2+07:23
asm_1.step_422 1/2+06:28
asm_1.step_423 25/1+04:51
asm_1.step_424 40/1+02:31
asm_1.step_425 5/2+07:04
asm_1.step_426 26/2+03:09
asm_1.step_427 4/2+02:29
